Bill Number,Title,Sponsors,Status,Current Location/Referral,Last Action Date
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=326&year=26"" target=""_blank"">HB 326</a>",PRODUCED WATER FACILITY INSURANCE,Debra M. Sariñana,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=327&year=26"" target=""_blank"">HB 327</a>",TIME PERIOD FOR PRODUCED WATER WELL DECISIONS,Jonathan A. Henry; Elaine Sena Cortez; Cathrynn N. Brown; Mark B. Murphy; Jimmy G. Mason,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=328&year=26"" target=""_blank"">HB 328</a>",STATE FUNDS FOR CONCEALED ID LAW ENFORCEMENT,Janelle Anyanonu; Antoinette Sedillo Lopez; Eleanor Chávez,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=329&year=26"" target=""_blank"">HB 329</a>",ENERGY AFFORDABILITY & GRID RELIABILITY,Meredith A. Dixon; Debra M. Sariñana,HENRC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,02/10/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=330&year=26"" target=""_blank"">HB 330</a>",AI ETHICS AS SCHOOL SCIENCE ELECTIVE,Linda Serrato; Anita Gonzales,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=331&year=26"" target=""_blank"">HB 331</a>",CRIMINAL RECORD EXPUNGEMENT CHANGES,Yanira Gurrola; Janelle Anyanonu; Eleanor Chávez,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=332&year=26"" target=""_blank"">*HB 332</a>",CAPITAL OUTLAY REAUTHORIZATIONS,Derrick J. Lente,Sent to HTRC - Referrals: HTRC,Scheduled for House Taxation & Revenue Committee                                                                                                                                                                                                                              on 2/16/2026,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=333&year=26"" target=""_blank"">HB 333</a>",TORT ACTIONS FOR LIBEL & SLANDER,Yanira Gurrola; Pamelya Herndon,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=334&year=26"" target=""_blank"">HB 334</a>",COMPETENCY OF CHILDREN,Andrea Reeb; Nicole Chavez; Alan T. Martinez,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=335&year=26"" target=""_blank"">HB 335</a>",CONFIDENTIAL STUDENT ATHLETE NIL INFO,Dayan Hochman-Vigil,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=336&year=26"" target=""_blank"">HB 336</a>",USE OF FDA-APPROVED PSILOCYBIN,Dayan Hochman-Vigil,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=337&year=26"" target=""_blank"">HB 337</a>",CONSIDERATION OF RPS IN GRID MODERNIZATION,Debra M. Sariñana; Tara L. Lujan,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=338&year=26"" target=""_blank"">HB 338</a>",HEALTH PRACTITIONER GRT DEDUCTION SUNSET,Doreen Y. Gallegos; Natalie Figueroa; Sarah Silva; Luis M. Terrazas,HHHC: Reported by committee without a recommendation,Scheduled for House Taxation & Revenue Committee                                                                                                                                                                                                                              on 2/16/2026,02/09/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=339&year=26"" target=""_blank"">HB 339</a>",JUVENILE JUSTICE CHANGES,Art De La Cruz,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=340&year=26"" target=""_blank"">HB 340</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Reena Szczepanski,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=341&year=26"" target=""_blank"">HB 341</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Reena Szczepanski,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=342&year=26"" target=""_blank"">HB 342</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Dayan Hochman-Vigil,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=343&year=26"" target=""_blank"">HB 343</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Dayan Hochman-Vigil,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=344&year=26"" target=""_blank"">HB 344</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Dayan Hochman-Vigil,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=345&year=26"" target=""_blank"">HB 345</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Gail Armstrong,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=346&year=26"" target=""_blank"">HB 346</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Gail Armstrong,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=347&year=26"" target=""_blank"">HB 347</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Gail Armstrong,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=348&year=26"" target=""_blank"">HB 348</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Alan T. Martinez,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=349&year=26"" target=""_blank"">HB 349</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Alan T. Martinez,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=350&year=26"" target=""_blank"">HB 350</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Alan T. Martinez,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=351&year=26"" target=""_blank"">HB 351</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Kristina Ortez,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=352&year=26"" target=""_blank"">HB 352</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Kristina Ortez,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=353&year=26"" target=""_blank"">HB 353</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Nathan P. Small,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=354&year=26"" target=""_blank"">HB 354</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Nathan P. Small,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=355&year=26"" target=""_blank"">HB 355</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Doreen Y. Gallegos,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=356&year=26"" target=""_blank"">HB 356</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Doreen Y. Gallegos,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=357&year=26"" target=""_blank"">HB 357</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Joanne J. Ferrary,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=358&year=26"" target=""_blank"">HB 358</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Joanne J. Ferrary,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=359&year=26"" target=""_blank"">HB 359</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",G. Andrés Romero,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=360&year=26"" target=""_blank"">HB 360</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",G. Andrés Romero,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=361&year=26"" target=""_blank"">HB 361</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Matthew McQueen,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=362&year=26"" target=""_blank"">HB 362</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Matthew McQueen,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=363&year=26"" target=""_blank"">HB 363</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",D. Wonda Johnson,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=364&year=26"" target=""_blank"">HB 364</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",D. Wonda Johnson,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=365&year=26"" target=""_blank"">HB 365</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE","Elizabeth ""Liz"" Thomson",Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=366&year=26"" target=""_blank"">HB 366</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE","Elizabeth ""Liz"" Thomson",Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=367&year=26"" target=""_blank"">HB 367</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Christine Chandler,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=368&year=26"" target=""_blank"">HB 368</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Christine Chandler,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=369&year=26"" target=""_blank"">HB 369</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Patricia Roybal Caballero,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=370&year=26"" target=""_blank"">HB 370</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Patricia Roybal Caballero,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=371&year=26"" target=""_blank"">HB 371</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Linda Serrato; Pete Campos,HAFC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,House Calendar,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=372&year=26"" target=""_blank"">HB 372</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Linda Serrato,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=373&year=26"" target=""_blank"">HB 373</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Derrick J. Lente,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=374&year=26"" target=""_blank"">HB 374</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Derrick J. Lente,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=375&year=26"" target=""_blank"">HB 375</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Art De La Cruz,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=376&year=26"" target=""_blank"">HB 376</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Art De La Cruz,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=377&year=26"" target=""_blank"">HB 377</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Andrea Romero,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=378&year=26"" target=""_blank"">HB 378</a>","PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Andrea Romero,Not Printed,House Rules & Order of Business Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=1&year=26"" target=""_blank"">SB   1</a>",INTERSTATE MEDICAL LICENSURE COMPACT ACT,Linda M. Trujillo; Katy M. Duhigg; Nicole Tobiassen; Pamelya Herndon; Marian Matthews,,Chaptered,
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=2&year=26"" target=""_blank"">SB   2</a>",STATE HIGHWAY PROJECT BONDS,"Roberto ""Bobby"" J. Gonzales; George K. Muñoz; Pete Campos; Art De La Cruz; Benny Shendo, Jr.",,Chaptered,
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=3&year=26"" target=""_blank"">SB   3</a>",COMMITMENT PROCEDURE CHANGES & DEFINITIONS,Antonio Maestas; Crystal Brantley; Pete Campos; Pamelya Herndon,s/partially concurred,House Concurrence Calendar,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=4&year=26"" target=""_blank"">SB   4</a>",MEDICAL RESIDENT & FELLOW SALARIES,Carrie Hamblen; Martin Hickey; Jeff Steinborn; Cindy Nava; Pete Campos,SHPAC: Reported by committee with Do Pass recommendation with amendment(s),Senate Finance Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=5&year=26"" target=""_blank"">SB   5</a>",EXPAND CERTAIN PHYSICIAN RESIDENCIES,Angel M. Charley; Cindy Nava; Katy M. Duhigg; Pete Campos; Anita Gonzales,SHPAC: Reported by committee with Do Pass recommendation,Senate Finance Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=6&year=26"" target=""_blank"">SB   6</a>",NEW SCHOOL OF MEDICINE FACILITY,"George K. Muñoz; Elizabeth ""Liz"" Stefanics; Heather Berghmans; Natalie Figueroa",SHPAC: Reported by committee with Do Pass recommendation,Senate Finance Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=7&year=26"" target=""_blank"">SB   7</a>",INCREASE CLINICIAN FACULTY PAY,Cindy Nava; Martin Hickey; Heather Berghmans; Katy M. Duhigg; Shannon D. Pinto,SHPAC: Reported by committee with Do Pass recommendation,Senate Finance Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=8&year=26"" target=""_blank"">SB   8</a>",BEHAVIORAL HEALTH TRUST FUND,Antoinette Sedillo Lopez; Harold Pope; George K. Muñoz; Pete Campos; Shannon D. Pinto,SHPAC: Reported by committee with Do Pass recommendation,Senate Finance Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=9&year=26"" target=""_blank"">SB   9</a>",MEDICAID TRUST FUND,"Elizabeth ""Liz"" Stefanics; William E. Sharer; Pete Campos; Antoinette Sedillo Lopez; Shannon D. Pinto",SHPAC: Reported by committee with Do Pass recommendation,Senate Finance Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=10&year=26"" target=""_blank"">SB  10</a>",HEALTH TRAINING CORPS,Heather Berghmans; Cindy Nava; Katy M. Duhigg; Pete Campos; Shannon D. Pinto,Sent to SCC - Referrals: SCC/SHPAC/SFC,Senate Committees Committee,01/20/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=11&year=26"" target=""_blank"">SB  11</a>",NURSE LOAN REPAYMENT ACT,Linda M. López; Micaelita Debbie O'Malley; Cindy Nava; Angel M. Charley; Antoinette Sedillo Lopez,Sent to SCC - Referrals: SCC/SHPAC/SFC,Senate Committees Committee,01/20/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=12&year=26"" target=""_blank"">SB  12</a>",PHYSICIAN TAX CREDIT,"Katy M. Duhigg; Elizabeth ""Liz"" Thomson; Cindy Nava; Heather Berghmans; Martin Hickey",SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=13&year=26"" target=""_blank"">SB  13</a>",HEALTH CARE GROSS RECEIPTS DEDUCTION,Natalie Figueroa; Jeff Steinborn; Pete Campos; Doreen Y. Gallegos,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=14&year=26"" target=""_blank"">SB  14</a>",HEALTH PROFESSIONAL ADVISORY COMMITTEE,Martin Hickey; Natalie Figueroa; Cindy Nava; Katy M. Duhigg,Sent to HHHC - Referrals: HHHC/HAFC,Scheduled for House Health & Human Services Committee                                                                                                                                                                                                                         on 2/16/2026,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=15&year=26"" target=""_blank"">SB  15</a>",HEALTH CARE PROVIDER COVERAGE,"Linda M. Trujillo; Peter Wirth; Elizabeth ""Liz"" Stefanics; Cindy Nava",Sent to SCC - Referrals: SCC/SHPAC/STBTC,Senate Committees Committee,01/20/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=16&year=26"" target=""_blank"">SB  16</a>",HEALTH PROFESSIONAL AUTONOMY ACT,Antoinette Sedillo Lopez,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,01/20/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=17&year=26"" target=""_blank"">SB  17</a>",STOP ILLEGAL GUN TRADE ACT,Micaelita Debbie O'Malley; Andrea Romero; Heather Berghmans; Charlotte Little; Patricia Roybal Caballero,HCEDC: Reported by committee with Do Pass recommendation,Scheduled for House Judiciary Committee                                                                                                                                                                                                                                       on 2/16/2026,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=18&year=26"" target=""_blank"">SB  18</a>",CLEAR HORIZONS & EMISSIONS CODIFICATION,Mimi Stewart; Kristina Ortez; Angel M. Charley; Andrea Romero; Cindy Nava,"Failed to Pass in the Senate, Bill Has Died",Died,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=19&year=26"" target=""_blank"">*SB  19</a>",SCHOOL FINANCE UNIT VALUE RESET,"William P. Soules; Benny Shendo, Jr.; Linda M. Trujillo; Pete Campos; Roberto ""Bobby"" J. Gonzales",,Chaptered,
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=20&year=26"" target=""_blank"">SB  20</a>",PRIOR AUTHORIZATION & PRESCRIPTION DRUGS,"Elizabeth ""Liz"" Stefanics; Martin Hickey; Linda M. López; Reena Szczepanski; Elizabeth ""Liz"" Thomson",Sent to HHHC - Referrals: HHHC,Scheduled for House Health & Human Services Committee                                                                                                                                                                                                                         on 2/16/2026,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=21&year=26"" target=""_blank"">SB  21</a>",MEDICARE SUPPLEMENT OPEN ENROLLMENT,"Rex Wilson; Pete Campos; Martin Hickey; Reena Szczepanski; Elizabeth ""Liz"" Stefanics",Sent to HHHC - Referrals: HHHC,Scheduled for House Health & Human Services Committee                                                                                                                                                                                                                         on 2/16/2026,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=22&year=26"" target=""_blank"">SB  22</a>",MOTOR VEHICLE MANUFACTURERS AS DEALERS,Harold Pope,SCC: Reported by committee to fall within the purview of a 30 day session,Senate Conservation Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=23&year=26"" target=""_blank"">SB  23</a>",EXCEPTIONS TO STUDENT USE OF PHONES,Crystal Brantley; Antonio Maestas,SEC: Reported by committee with Do Pass recommendation,Senate Judiciary Committee,02/09/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=29&year=26"" target=""_blank"">SB  29</a>",MATH REQUIREMENTS FOR TEACHING LICENSE,William P. Soules; Debra M. Sariñana; Catherine J. Cullen,HEC: Reported by committee with Do Pass recommendation with amendment(s),House Calendar,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=30&year=26"" target=""_blank"">SB  30</a>",REPORTING OF INDUCED ABORTIONS,Peter Wirth; Janelle Anyanonu; Cindy Nava; Angel M. Charley,HJC: Reported by committee with Do Pass recommendation,House Calendar,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=31&year=26"" target=""_blank"">SB  31</a>",U VISA CERTIFICATION ACT,Antoinette Sedillo Lopez,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=32&year=26"" target=""_blank"">SB  32</a>",PROSECUTION OF HUMAN TRAFFICKING,Heather Berghmans; Linda M. Trujillo; Marian Matthews; Antoinette Sedillo Lopez; Nicole Tobiassen,SHPAC: Reported by committee with Do Pass recommendation,Senate Judiciary Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=33&year=26"" target=""_blank"">SB  33</a>",RIGHT TO TRY INDIVIDUALIZED TREATMENTS ACT,Jeff Steinborn; Nicole Tobiassen,SHPAC: Reported by committee with Do Pass recommendation,Senate Judiciary Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=34&year=26"" target=""_blank"">SB  34</a>",PUBLISH STANDARDS-BASED ASSESSMENT INFO,Gabriel Ramos; Luis M. Terrazas,Sent to SCC - Referrals: SCC/SEC/SHPAC,Senate Committees Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=35&year=26"" target=""_blank"">*SB  35</a>",CREATE ADDITION 1ST DISTRICT JUDGESHIP,Linda M. Trujillo; Peter Wirth,HJC: Reported by committee with Do Pass recommendation,House Calendar,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=36&year=26"" target=""_blank"">SB  36</a>",QUANTUM FACILITY INFRASTRUCTURE TAX CREDIT,Michael Padilla; Joshua N. Hernandez,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=37&year=26"" target=""_blank"">SB  37</a>",HIGH QUALITY LITERACY INSTRUCTION ACT,Mimi Stewart; Joy Garratt; Catherine J. Cullen,HEC: Reported by committee with Do Pass recommendation with amendment(s),House Calendar,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=38&year=26"" target=""_blank"">SB  38</a>",FEES ON REGISTERED PET FOOD,Peter Wirth; Cristina Parajón; Joanne J. Ferrary,HCPAC: Reported by committee with Do Pass recommendation,Scheduled for House Judiciary Committee                                                                                                                                                                                                                                       on 2/16/2026,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=39&year=26"" target=""_blank"">SB  39</a>",MICROGRID OVERSIGHT ACT,Jeff Steinborn,Sent to SCC - Referrals: SCC/SCONC/STBTC,Senate Committees Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=40&year=26"" target=""_blank"">SB  40</a>",DRIVER PRIVACY AND SAFETY ACT,Peter Wirth; Christine Chandler; Cindy Nava; Heather Berghmans; Micaelita Debbie O'Malley,HJC: Reported by committee with Do Pass recommendation,House Calendar,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=41&year=26"" target=""_blank"">SB  41</a>",STATUTE OF LIMITATIONS FOR CERTAIN SEX CRIMES,Angel M. Charley; Jeff Steinborn; George K. Muñoz; Cindy Nava,Sent to HJC - Referrals: HJC,House Judiciary Committee,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=42&year=26"" target=""_blank"">SB  42</a>",TAOS PRIMARY HEALTH BUILDING,"Roberto ""Bobby"" J. Gonzales",Referred to: SCC/SHPAC/SFC,Senate Finance Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=43&year=26"" target=""_blank"">SB  43</a>",PAROLE REQUIREMENT CHANGES,Leo Jaramillo; Nicole Chavez; Andrea Romero; Crystal Brantley,HJC: Reported by committee with Do Pass recommendation,House Calendar,02/14/2026
